cluster_id,time_floor_4h,Total_Footprint,Violation_Count,hour,day_of_week,Is_Weekend,month,Lag_1_Shift,Lag_1_Day,Lag_1_Week,Target,Predicted_Next_Shift_Footprint,Predicted_Next_Shift_Impact,center_lat,center_lon,primary_violation
87,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.907812529790517,77.62948345540795,WRONG PARKING
88,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.98335439125,77.75186992875,NO PARKING
89,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.093635496774194,77.5942196471464,WRONG PARKING
90,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.045429899245283,77.50701488226416,WRONG PARKING
91,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.936806777464788,77.60173062347418,PARKING IN A MAIN ROAD
92,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.989948270338164,77.5931157570773,NO PARKING
93,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.018853708333333,77.63946075833333,NO PARKING
94,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.958925325319148,77.66060645,PARKING IN A MAIN ROAD
95,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.041920339809524,77.51444560380952,NO PARKING
96,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.917441969183006,77.67216859395424,WRONG PARKING
97,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.938214743769633,77.57688587465968,WRONG PARKING
98,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.974769224302863,77.71128271880887,WRONG PARKING
99,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.924582567967581,77.6191827478803,NO PARKING
100,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.005352143612335,77.59388431674009,NO PARKING
